Ligand,Docking_Score
NPC245948_out,-8.6
NPC246702_out,-8.4
NPC247987_out,-8.2
NPC251017_out,-8.9
NPC25177_out,-10.0
NPC251941_out,-8.6
NPC253096_out,-8.3
NPC253314_out,-11.3
NPC254611_out,-8.6
NPC256035_out,-8.1
NPC257979_out,-8.2
NPC259522_out,-8.7
NPC260014_out,-9.2
NPC260061_out,-9.2
NPC261652_out,-8.7
NPC263449_out,-8.5
NPC269333_out,-9.4
NPC26971_out,-8.8
NPC269802_out,-8.6
NPC272500_out,-8.4
NPC275631_out,-8.6
NPC282424_out,-10.2
NPC28287_out,-9.0
NPC286174_out,-9.4
NPC287745_out,-9.1
NPC288840_out,-9.6
NPC289227_out,-10.9
NPC291773_out,-9.2
NPC293138_out,-9.1
NPC29617_out,-8.3
NPC297199_out,-9.7
NPC29768_out,-10.9
NPC298417_out,-8.0
NPC300654_out,-8.6
NPC301736_out,-9.3
NPC304804_out,-9.3
NPC304870_out,-8.8
NPC304936_out,-8.1
NPC304963_out,-8.3
NPC305160_out,-8.9
NPC305319_out,-10.4
NPC306128_out,-8.6
NPC310837_out,-8.7
NPC311256_out,-8.2
NPC312770_out,-8.7
NPC312889_out,-8.0
NPC313234_out,-8.6
NPC315054_out,-8.7
NPC317163_out,-9.3
NPC317572_out,-8.3
NPC320728_out,-10.2
NPC320836_out,-8.2
NPC322277_out,-9.3
NPC329483_out,-9.6
NPC33821_out,-8.0
NPC35239_out,-8.7
NPC35284_out,-8.6
NPC35959_out,-8.6
NPC36586_out,-8.7
NPC37320_out,-8.4
NPC38165_out,-8.6
NPC38392_out,-9.5
NPC39822_out,-9.5
NPC40809_out,-8.4
NPC42423_out,-8.8
NPC42957_out,-8.7
NPC44165_out,-8.0
NPC45191_out,-8.6
NPC469466_out,-9.7
NPC469490_out,-8.2
NPC469872_out,-8.6
NPC470784_out,-10.4
NPC470872_out,-8.5
NPC470957_out,-8.3
NPC472310_out,-8.6
NPC472311_out,-8.5
NPC472641_out,-8.9
NPC472708_out,-8.3
NPC472806_out,-11.5
NPC475788_out,-9.1
NPC476379_out,-8.7
NPC478210_out,-8.8
NPC478578_out,-9.6
NPC478821_out,-9.1
NPC479386_out,-8.8
NPC479390_out,-9.6
NPC479391_out,-9.6
NPC480649_out,-9.1
NPC480856_out,-8.8
NPC480857_out,-8.2
NPC480860_out,-9.3
NPC480865_out,-8.9
NPC48107_out,-9.2
NPC481139_out,-8.4
NPC482886_out,-8.3
NPC482914_out,-9.2
NPC483646_out,-9.1
NPC484611_out,-9.1
NPC484627_out,-8.9
NPC484818_out,-8.8
NPC484936_out,-8.0
NPC484938_out,-8.6
NPC484940_out,-9.4
NPC485045_out,-8.4
NPC485398_out,-9.1
NPC486446_out,-8.7
NPC486509_out,-8.4
NPC487307_out,-10.1
NPC487411_out,-8.0
NPC488638_out,-8.1
NPC488640_out,-10.8
NPC489124_out,-9.0
NPC489257_out,-9.3
NPC489697_out,-10.0
NPC489704_out,-10.7
NPC489705_out,-9.9
NPC489706_out,-9.9
NPC490730_out,-9.6
NPC50542_out,-9.5
NPC50_out,-8.7
NPC52122_out,-8.4
NPC5253_out,-10.4
NPC53565_out,-8.6
NPC55092_out,-9.5
NPC57114_out,-9.0
NPC58212_out,-8.3
NPC59029_out,-9.6
NPC5943_out,-9.7
NPC60124_out,-9.0
NPC61946_out,-8.9
NPC61993_out,-9.8
NPC62995_out,-8.1
NPC63720_out,-8.3
NPC66964_out,-9.1
NPC67683_out,-8.7
NPC68167_out,-8.9
NPC6964_out,-8.0
NPC71271_out,-9.1
NPC76506_out,-10.0
NPC77040_out,-9.0
NPC83693_out,-9.1
NPC84207_out,-10.0
